id;name;orcid;employer;affiliated in;involved in
P001;Tobias Hodel;https://orcid.org/0000-0002-2071-6407;G002;"G018; G053; G054";"PR002; PR004; PR007"
P002;Rita Gautschy;https://orcid.org/0000-0002-5470-8720;"G011; G012";G061;
P003;Peter Fornaro;https://orcid.org/0000-0003-1485-4923;G001;"G011; G018";PR001
P004;Lukas Rosenthaler;https://orcid.org/0000-0003-1681-4036;G001;;PR005
P005;Frederic Kaplan;https://orcid.org/0000-0002-6991-5730;G006;;
P006;Béatrice Joyeux-Prunel;https://orcid.org/0000-0003-1046-7002;G004;"G018; G052; G054";
P007;Sarah Kenderdine;https://orcid.org/0000-0002-7190-9946;G008;;
P008;Mathieu Avanzi;https://orcid.org/0000-0002-0688-2310;G017;;
P009;Francesco Berretta;;G056;;PR007
P010;Anita Auer;https://orcid.org/0009-0007-6302-5810;G055;G011;
P011;Elena Chestnova;https://orcid.org/0000-0002-0654-1313;G051;G061;
P012;Rico Sennrich;https://orcid.org/0000-0002-1438-4741;G015;;
P013;Lucas Burkart;https://orcid.org/0000-0002-9011-5113;G057;;
P014;Moniek Kuijpers;https://orcid.org/0000-0002-3676-5879;G001;;PR006
P015;Alassi Sepideh;https://orcid.org/0000-0002-5627-9501;G001;;PR005
P016;Vera Chiquet;https://orcid.org/0000-0001-5925-2956;G001;"G018; G054";PR001
P017;Moritz Mähr;https://orcid.org/0000-0002-1367-1618;G057;"G002; G054";
P018;Elena Spadini;https://orcid.org/0000-0002-4522-2833;G014;G002;
P019;Yannick Rochat;https://orcid.org/0000-0002-9588-9855;G016;;PR002
P020;Cristina Grisot;https://orcid.org/0000-0003-0684-4442;"G012; G022";G061;
P021;Simon Gabay;https://orcid.org/0000-0001-9094-4475;G004;;
P022;Thomas Hänsli;https://orcid.org/0000-0001-7818-5605;"G010; G060";G061;
P023;Florian Kräutli;https://orcid.org/0000-0001-9039-0900;G010;;
P024;Eugen Pfister;https://orcid.org/0000-0003-3422-4697;G027;G002;PR002
P025;Grégoire Malland;;G052;;
P026;Davide Rodogno;https://orcid.org/0000-0002-0947-4515;G052;;
P027;Maud Ehrmann;https://orcid.org/0000-0001-9900-2193;G006;;PR003
P028;Ranjodh Singh Dhaliwal;https://orcid.org/0000-0002-9826-0614;G001;;
P029;"Rosa Lavelle-Hill  ";https://orcid.org/0000-0002-1767-9828;G001;;
P030;Enrico Natale;https://orcid.org/0000-0002-0967-5931;G031;G054;
P031;Julien A. Raemy;https://orcid.org/0000-0002-4711-5759;G066;"G002; G049; G054";PR001
P032;Katharina Böhmer;https://orcid.org/0009-0003-7269-6780;G002;;
